epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5407,0.88073,2.00253,0.99745,0.70386,0.3311,0.30223,0.25539,0.62585,1.04006,0.86519,0.00331989,0.00331989,0.00331989
2,151.287,0.75502,1.14891,0.93454,0.6956,0.40698,0.47212,0.39492,0.65835,0.90077,0.87823,0.00663127,0.00663127,0.00663127
3,228.433,0.80055,1.02322,0.95164,0.54937,0.57457,0.61379,0.49658,0.67816,0.97739,0.9203,0.00992065,0.00992065,0.00992065
4,299.289,0.80867,0.95194,0.96016,0.73061,0.32821,0.45329,0.3596,0.75757,0.96314,0.94501,0.009901,0.009901,0.009901
5,369.626,0.78923,0.85966,0.95988,0.71233,0.60742,0.70463,0.58136,0.69319,0.69964,0.91645,0.009868,0.009868,0.009868
6,444.176,0.75411,0.78017,0.9471,0.88116,0.50063,0.69372,0.5689,0.70274,0.67125,0.93155,0.009835,0.009835,0.009835
7,521.474,0.73289,0.73311,0.94174,0.70921,0.55019,0.65827,0.55259,0.6578,0.77954,0.92004,0.009802,0.009802,0.009802
8,592.703,0.70833,0.69592,0.9285,0.8167,0.58902,0.68725,0.57173,0.63032,0.66198,0.90843,0.009769,0.009769,0.009769
9,662.514,0.68798,0.65485,0.92473,0.73588,0.72535,0.82325,0.69443,0.60151,0.57016,0.90105,0.009736,0.009736,0.009736
10,746.219,0.66821,0.61503,0.91663,0.84463,0.69215,0.82673,0.69733,0.59064,0.5075,0.91299,0.009703,0.009703,0.009703
11,816.853,0.65058,0.59635,0.91511,0.76191,0.77272,0.85021,0.73332,0.56537,0.53445,0.89541,0.00967,0.00967,0.00967
12,888.098,0.64749,0.57416,0.91105,0.68523,0.80635,0.83772,0.70978,0.5733,0.49118,0.89658,0.009637,0.009637,0.009637
13,960.456,0.63493,0.55491,0.90601,0.85861,0.80538,0.88823,0.76733,0.54509,0.45404,0.88263,0.009604,0.009604,0.009604
14,1039.44,0.61986,0.52335,0.90138,0.8413,0.86073,0.89524,0.76256,0.55248,0.44904,0.88702,0.009571,0.009571,0.009571
15,1111.17,0.61355,0.53134,0.89839,0.8988,0.80052,0.93086,0.78878,0.53275,0.42957,0.8815,0.009538,0.009538,0.009538
16,1182.69,0.60841,0.51292,0.89671,0.88798,0.89606,0.95424,0.82865,0.50973,0.40485,0.8718,0.009505,0.009505,0.009505
17,1265.42,0.59819,0.49953,0.89057,0.7929,0.8708,0.90868,0.79619,0.52957,0.40909,0.87673,0.009472,0.009472,0.009472
18,1338.64,0.588,0.48882,0.88842,0.84961,0.83481,0.91619,0.78238,0.54719,0.48353,0.88187,0.009439,0.009439,0.009439
19,1408.05,0.5786,0.47318,0.88655,0.93018,0.86135,0.9629,0.86231,0.50957,0.39209,0.86831,0.009406,0.009406,0.009406
20,1484.08,0.57036,0.47175,0.8835,0.91825,0.90855,0.97252,0.85502,0.49361,0.36394,0.86593,0.009373,0.009373,0.009373
21,1567.67,0.56341,0.4561,0.87889,0.92654,0.90037,0.95378,0.83875,0.48931,0.37515,0.86189,0.00934,0.00934,0.00934
22,1636.09,0.56494,0.45422,0.87951,0.83249,0.77838,0.86152,0.74138,0.54568,0.43215,0.88167,0.009307,0.009307,0.009307
23,1704.67,0.56046,0.44575,0.88072,0.81053,0.93542,0.97124,0.86424,0.48175,0.35442,0.8611,0.009274,0.009274,0.009274
24,1781.37,0.55249,0.43858,0.87468,0.92238,0.87634,0.96841,0.85864,0.47633,0.34279,0.85763,0.009241,0.009241,0.009241
25,1865.03,0.54457,0.43281,0.87399,0.89864,0.89832,0.96172,0.8604,0.47653,0.34382,0.85897,0.009208,0.009208,0.009208
26,1933.74,0.54191,0.42569,0.87339,0.9203,0.9144,0.97696,0.85459,0.47826,0.34377,0.86042,0.009175,0.009175,0.009175
27,2000.55,0.53259,0.41274,0.86722,0.8781,0.93339,0.95777,0.86173,0.47614,0.34021,0.85483,0.009142,0.009142,0.009142
28,2077.02,0.52516,0.41169,0.8656,0.95002,0.85437,0.97387,0.86504,0.46718,0.3349,0.85793,0.009109,0.009109,0.009109
29,2162.07,0.52184,0.40112,0.86324,0.94121,0.94934,0.98159,0.86453,0.46292,0.31949,0.8546,0.009076,0.009076,0.009076
