epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3828,0.90774,2.17135,0.98404,0.74137,0.20332,0.20871,0.17075,0.64878,1.25303,0.85028,0.00331989,0.00331989,0.00331989
2,182.023,0.77212,1.1945,0.91609,0.62895,0.33173,0.3488,0.29111,0.67227,1.06437,0.85628,0.00663127,0.00663127,0.00663127
3,256.188,0.80249,1.0569,0.92762,0.67192,0.44187,0.48068,0.37393,0.69066,0.90632,0.87189,0.00992065,0.00992065,0.00992065
4,327.837,0.80872,0.98057,0.93309,0.58056,0.47186,0.47335,0.38039,0.67713,0.88675,0.88432,0.009901,0.009901,0.009901
5,403.172,0.78859,0.90364,0.92993,0.80273,0.42529,0.64194,0.5104,0.66429,0.73688,0.87774,0.009868,0.009868,0.009868
6,470.336,0.76735,0.82568,0.92308,0.77607,0.52334,0.62761,0.50749,0.68035,0.65849,0.88671,0.009835,0.009835,0.009835
7,537.181,0.74421,0.77471,0.91537,0.612,0.54721,0.63426,0.52838,0.66092,0.69256,0.88271,0.009802,0.009802,0.009802
8,605.023,0.73017,0.73139,0.91057,0.84368,0.59095,0.73588,0.62219,0.62007,0.61635,0.87094,0.009769,0.009769,0.009769
9,682.263,0.71129,0.69818,0.90718,0.69307,0.7048,0.74172,0.60778,0.59962,0.61854,0.86986,0.009736,0.009736,0.009736
10,756.443,0.7005,0.66162,0.9028,0.64568,0.61451,0.68881,0.57791,0.62695,0.69781,0.87865,0.009703,0.009703,0.009703
11,829.063,0.68028,0.65231,0.89782,0.62864,0.75542,0.82005,0.6821,0.57932,0.55411,0.86246,0.00967,0.00967,0.00967
12,899.171,0.66983,0.61966,0.89334,0.8807,0.70282,0.85391,0.70674,0.59127,0.52755,0.86126,0.009637,0.009637,0.009637
13,972.111,0.66379,0.60316,0.89247,0.68991,0.71143,0.79099,0.65905,0.56748,0.5316,0.85827,0.009604,0.009604,0.009604
14,1055.36,0.6491,0.58202,0.88765,0.83613,0.82357,0.91315,0.77526,0.55699,0.49231,0.85509,0.009571,0.009571,0.009571
15,1120.65,0.6433,0.57334,0.8864,0.84396,0.77802,0.84543,0.71092,0.56551,0.50899,0.85821,0.009538,0.009538,0.009538
16,1183.93,0.63683,0.56195,0.88401,0.88019,0.79839,0.87876,0.74205,0.5487,0.4566,0.85417,0.009505,0.009505,0.009505
17,1253.58,0.63056,0.54714,0.87896,0.849,0.88188,0.92109,0.80331,0.53918,0.44847,0.85047,0.009472,0.009472,0.009472
18,1324.9,0.62012,0.53558,0.87773,0.81105,0.86374,0.92063,0.78436,0.54817,0.47936,0.85481,0.009439,0.009439,0.009439
19,1390.85,0.6118,0.52253,0.8756,0.91299,0.82739,0.94248,0.78979,0.54623,0.4394,0.84996,0.009406,0.009406,0.009406
20,1454.7,0.60412,0.51424,0.87301,0.83869,0.85287,0.9105,0.75648,0.53809,0.42899,0.8528,0.009373,0.009373,0.009373
21,1539.96,0.59917,0.50534,0.86929,0.93384,0.85586,0.94034,0.81322,0.50939,0.40673,0.83892,0.00934,0.00934,0.00934
22,1624.78,0.59615,0.50044,0.86979,0.84133,0.9269,0.96216,0.80779,0.5219,0.39703,0.84167,0.009307,0.009307,0.009307
23,1689.94,0.59321,0.49358,0.87154,0.8997,0.89635,0.94886,0.8124,0.5095,0.39803,0.84487,0.009274,0.009274,0.009274
24,1766.56,0.58446,0.48974,0.8654,0.8863,0.88604,0.9379,0.81128,0.51963,0.42051,0.84365,0.009241,0.009241,0.009241
25,1845.23,0.57879,0.48111,0.86623,0.93726,0.87918,0.93969,0.81644,0.50463,0.40072,0.84,0.009208,0.009208,0.009208
26,1917.85,0.5759,0.47487,0.86519,0.91732,0.86767,0.94019,0.83196,0.4998,0.38768,0.83817,0.009175,0.009175,0.009175
27,1982.73,0.56475,0.46003,0.86081,0.91204,0.90181,0.94259,0.82202,0.49698,0.4007,0.84161,0.009142,0.009142,0.009142
28,2049.18,0.56593,0.456,0.86128,0.90178,0.93068,0.96354,0.84709,0.5042,0.38926,0.84252,0.009109,0.009109,0.009109
29,2129.77,0.55648,0.45178,0.85721,0.90142,0.91975,0.9458,0.83625,0.49922,0.37028,0.84039,0.009076,0.009076,0.009076
30,2200.37,0.55203,0.44993,0.85881,0.92438,0.89458,0.95726,0.83777,0.48978,0.38135,0.83565,0.009043,0.009043,0.009043
31,2277.36,0.5553,0.44679,0.85938,0.88742,0.91339,0.95738,0.85207,0.48258,0.36881,0.82979,0.00901,0.00901,0.00901
32,2347.38,0.54773,0.43741,0.85707,0.90635,0.87617,0.94967,0.84546,0.49035,0.37117,0.83652,0.008977,0.008977,0.008977
33,2410.24,0.54375,0.43712,0.85579,0.91609,0.90817,0.95736,0.83525,0.47724,0.3607,0.83009,0.008944,0.008944,0.008944
34,2480.06,0.54532,0.43299,0.85456,0.92959,0.90434,0.9802,0.87253,0.47388,0.34718,0.83057,0.008911,0.008911,0.008911
35,2552.25,0.53759,0.43078,0.8538,0.93306,0.8548,0.95509,0.83832,0.46981,0.36035,0.83102,0.008878,0.008878,0.008878
36,2618.7,0.54065,0.42669,0.85637,0.93214,0.89208,0.96549,0.85497,0.47771,0.36439,0.83422,0.008845,0.008845,0.008845
37,2680.7,0.52998,0.42083,0.85499,0.8888,0.91278,0.9392,0.83691,0.47351,0.34317,0.83175,0.008812,0.008812,0.008812
38,2744.75,0.52729,0.41492,0.85065,0.92564,0.90546,0.96287,0.85424,0.46695,0.3413,0.83135,0.008779,0.008779,0.008779
39,2815.06,0.52171,0.4122,0.85162,0.88113,0.90052,0.95336,0.84172,0.4612,0.34963,0.8281,0.008746,0.008746,0.008746
40,2886.99,0.51962,0.40625,0.84999,0.91239,0.93115,0.95961,0.84952,0.46151,0.3419,0.8287,0.008713,0.008713,0.008713
41,2954.17,0.51718,0.40837,0.84786,0.88648,0.94865,0.97065,0.86097,0.46435,0.33864,0.82818,0.00868,0.00868,0.00868
42,3019.9,0.51675,0.40549,0.84983,0.93774,0.90452,0.96268,0.87013,0.45022,0.32592,0.82713,0.008647,0.008647,0.008647
43,3085.73,0.51112,0.39626,0.84811,0.9049,0.92076,0.97348,0.86648,0.45805,0.33314,0.83216,0.008614,0.008614,0.008614
44,3160.36,0.50978,0.39718,0.84661,0.90779,0.93242,0.97738,0.87023,0.44603,0.32879,0.82331,0.008581,0.008581,0.008581
45,3232.69,0.50803,0.39372,0.84613,0.89965,0.89654,0.96341,0.86451,0.4514,0.33945,0.82825,0.008548,0.008548,0.008548
46,3295.72,0.50704,0.39179,0.84433,0.90969,0.92337,0.96507,0.85383,0.45122,0.3318,0.8261,0.008515,0.008515,0.008515
47,3358.75,0.49557,0.38594,0.84261,0.90623,0.92082,0.96215,0.86995,0.44064,0.31921,0.82174,0.008482,0.008482,0.008482
48,3429.75,0.49698,0.38698,0.84349,0.91876,0.92185,0.97113,0.87924,0.43837,0.31323,0.82521,0.008449,0.008449,0.008449
49,3504.7,0.49703,0.3802,0.84047,0.90543,0.9361,0.97075,0.88201,0.43608,0.32098,0.82339,0.008416,0.008416,0.008416
50,3573.75,0.49485,0.38942,0.84385,0.91153,0.91705,0.96452,0.86692,0.43771,0.31977,0.82416,0.008383,0.008383,0.008383
51,3638.03,0.49314,0.3803,0.84101,0.88002,0.94788,0.96817,0.87839,0.42849,0.30989,0.82044,0.00835,0.00835,0.00835
52,3704.19,0.48418,0.37281,0.83782,0.90896,0.90852,0.95294,0.86379,0.43631,0.31093,0.82413,0.008317,0.008317,0.008317
53,3777.74,0.48588,0.37004,0.83998,0.93823,0.93503,0.95726,0.85433,0.43575,0.30977,0.82196,0.008284,0.008284,0.008284
54,3845.12,0.48168,0.3702,0.83843,0.93678,0.92934,0.97187,0.88539,0.42531,0.30204,0.81941,0.008251,0.008251,0.008251
55,3913.08,0.48133,0.37068,0.8383,0.85,0.9477,0.96067,0.87106,0.4298,0.30726,0.81995,0.008218,0.008218,0.008218
56,3990.64,0.47791,0.36843,0.83876,0.89952,0.95857,0.97267,0.88274,0.42497,0.30435,0.81973,0.008185,0.008185,0.008185
57,4062.31,0.47232,0.36186,0.83651,0.91792,0.93427,0.96598,0.87987,0.42801,0.30267,0.82311,0.008152,0.008152,0.008152
58,4128.97,0.4723,0.36114,0.83697,0.90327,0.93978,0.98112,0.89705,0.41912,0.30231,0.82022,0.008119,0.008119,0.008119
59,4191.63,0.46834,0.35695,0.83432,0.93198,0.92742,0.96477,0.89275,0.4177,0.30043,0.82083,0.008086,0.008086,0.008086
60,4254.62,0.46793,0.36184,0.8366,0.94997,0.92518,0.96868,0.88606,0.41374,0.29317,0.8198,0.008053,0.008053,0.008053
61,4322.16,0.4701,0.3594,0.83624,0.93074,0.91745,0.96115,0.89199,0.41233,0.29177,0.81983,0.00802,0.00802,0.00802
62,4391.95,0.46381,0.35555,0.83462,0.93809,0.92687,0.97655,0.89509,0.41357,0.28899,0.82095,0.007987,0.007987,0.007987
63,4456.93,0.46059,0.35007,0.83137,0.92242,0.94381,0.97002,0.89445,0.41133,0.29307,0.81502,0.007954,0.007954,0.007954
64,4519.51,0.45618,0.34615,0.83207,0.94397,0.93131,0.97302,0.89525,0.41482,0.29135,0.82251,0.007921,0.007921,0.007921
65,4593.16,0.46167,0.35415,0.8356,0.95207,0.93653,0.98547,0.8995,0.42194,0.29263,0.82191,0.007888,0.007888,0.007888
66,4667.18,0.45733,0.34667,0.83395,0.94477,0.92893,0.98514,0.90634,0.4128,0.29189,0.81929,0.007855,0.007855,0.007855
67,4731.35,0.45363,0.34604,0.8325,0.92518,0.93933,0.9621,0.87758,0.41152,0.29229,0.81835,0.007822,0.007822,0.007822
68,4793.27,0.45438,0.34388,0.83384,0.94653,0.92811,0.96999,0.89799,0.40291,0.28695,0.81628,0.007789,0.007789,0.007789
69,4863.93,0.45652,0.34445,0.83158,0.9256,0.94462,0.98401,0.90457,0.39973,0.28184,0.81602,0.007756,0.007756,0.007756
70,4937.04,0.44869,0.33745,0.83066,0.94827,0.94974,0.98296,0.90714,0.4011,0.2834,0.81579,0.007723,0.007723,0.007723
