epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.116,0.89103,4.45948,0.99847,0.6243,0.23549,0.24492,0.21065,0.66402,2.59327,0.90355,0.00331989,0.00331989,0.00331989
2,331.141,0.76702,2.43517,0.95007,0.65401,0.49997,0.56088,0.48333,0.65054,1.75687,0.91219,0.00663127,0.00663127,0.00663127
3,501.016,0.81827,1.90096,0.96822,0.73657,0.53498,0.66126,0.54819,0.73023,1.56098,0.95112,0.00992065,0.00992065,0.00992065
4,659.214,0.83339,1.6551,0.97946,0.66468,0.58818,0.66833,0.55218,0.73226,1.48647,0.95361,0.009901,0.009901,0.009901
5,819.548,0.80786,1.3381,0.96761,0.75368,0.65398,0.77772,0.648,0.72622,1.10973,0.95324,0.009868,0.009868,0.009868
6,981.905,0.7738,1.16612,0.95752,0.73938,0.65703,0.78189,0.64875,0.71957,1.08785,0.94506,0.009835,0.009835,0.009835
7,1139.65,0.73937,1.03857,0.95227,0.74849,0.79998,0.86778,0.74278,0.63976,0.81146,0.91488,0.009802,0.009802,0.009802
8,1308.2,0.71393,0.94352,0.93725,0.78968,0.79026,0.89165,0.76401,0.62936,0.74585,0.91484,0.009769,0.009769,0.009769
9,1476.11,0.69567,0.87648,0.93192,0.80834,0.81861,0.90905,0.78561,0.6002,0.69402,0.90195,0.009736,0.009736,0.009736
10,1626.4,0.67879,0.82422,0.92382,0.84164,0.80144,0.9276,0.80968,0.57954,0.65257,0.89571,0.009703,0.009703,0.009703
11,1795.97,0.65669,0.78225,0.91808,0.81779,0.80094,0.90778,0.7796,0.60949,0.68635,0.90469,0.00967,0.00967,0.00967
12,1965.67,0.64619,0.74077,0.91508,0.80799,0.85858,0.93371,0.8176,0.5658,0.58943,0.89064,0.009637,0.009637,0.009637
13,2125.77,0.63223,0.70553,0.90843,0.8055,0.83403,0.92341,0.80689,0.56381,0.66257,0.89723,0.009604,0.009604,0.009604
14,2283.74,0.61872,0.67722,0.90411,0.84715,0.84869,0.9393,0.82864,0.5508,0.56965,0.88813,0.009571,0.009571,0.009571
15,2449.06,0.60513,0.64606,0.90148,0.87178,0.86724,0.94915,0.84303,0.52862,0.52992,0.88009,0.009538,0.009538,0.009538
16,2606.3,0.59087,0.63293,0.89684,0.8374,0.87202,0.94462,0.83698,0.54377,0.54544,0.88286,0.009505,0.009505,0.009505
17,2772.55,0.59244,0.62648,0.89901,0.85147,0.88973,0.94866,0.83956,0.53722,0.52699,0.8863,0.009472,0.009472,0.009472
18,2936.41,0.58224,0.60813,0.89881,0.89215,0.87196,0.9555,0.84884,0.52266,0.49829,0.8793,0.009439,0.009439,0.009439
