epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2094,1.02355,5.77417,1.00659,0.00353,0.20484,0.01299,0.01119,0.86796,4.7232,0.96242,0.00331989,0.00331989,0.00331989
2,81.9533,1.00288,4.81961,1.02136,0.5374,0.08665,0.04869,0.04113,0.85802,3.80313,0.97607,0.00663127,0.00663127,0.00663127
3,122.355,1.02157,3.9019,1.04025,0.53051,0.17703,0.13066,0.10614,0.86989,3.23065,1.00505,0.00992065,0.00992065,0.00992065
4,161.065,0.99324,3.16541,1.03263,0.48058,0.29226,0.22229,0.18167,0.83945,2.4436,0.99158,0.009901,0.009901,0.009901
5,199.597,0.95054,2.66707,1.01836,0.61928,0.32673,0.35437,0.29394,0.79755,2.08034,0.97126,0.009868,0.009868,0.009868
6,238.05,0.90116,2.30125,1.00265,0.55802,0.44641,0.45886,0.37761,0.77521,1.75411,0.96572,0.009835,0.009835,0.009835
7,276.366,0.87112,2.05872,0.99696,0.63312,0.50591,0.5699,0.47829,0.73997,1.49705,0.95325,0.009802,0.009802,0.009802
8,314.941,0.84066,1.87183,0.981,0.57124,0.52331,0.5846,0.49212,0.73983,1.50225,0.954,0.009769,0.009769,0.009769
9,353.115,0.82787,1.72298,0.97628,0.64412,0.59883,0.68434,0.56479,0.74314,1.27377,0.94973,0.009736,0.009736,0.009736
10,391.502,0.8096,1.58996,0.97001,0.65292,0.66291,0.72866,0.61882,0.68684,1.1869,0.93125,0.009703,0.009703,0.009703
11,429.628,0.78358,1.50416,0.9596,0.72671,0.64218,0.76021,0.64776,0.67835,1.02826,0.92628,0.00967,0.00967,0.00967
12,467.514,0.78124,1.42403,0.95874,0.69311,0.67866,0.77033,0.654,0.68023,1.05187,0.93263,0.009637,0.009637,0.009637
13,505.438,0.75929,1.34958,0.9507,0.68793,0.66545,0.76376,0.65105,0.671,1.1217,0.92881,0.009604,0.009604,0.009604
14,543.221,0.74442,1.289,0.94544,0.7564,0.7434,0.84342,0.72015,0.66685,0.89181,0.92307,0.009571,0.009571,0.009571
15,581.048,0.73649,1.2324,0.94241,0.73258,0.77861,0.85012,0.7311,0.63996,0.83461,0.91072,0.009538,0.009538,0.009538
16,618.795,0.72683,1.19366,0.93913,0.77392,0.74677,0.84596,0.72869,0.64458,0.90198,0.91705,0.009505,0.009505,0.009505
17,656.637,0.71844,1.17514,0.93691,0.79433,0.78601,0.88311,0.76727,0.62388,0.78581,0.9022,0.009472,0.009472,0.009472
18,691.033,0.71297,1.1437,0.93625,0.79701,0.75905,0.86973,0.75034,0.62581,0.79735,0.90284,0.009439,0.009439,0.009439
19,727.377,0.71042,1.08955,0.93294,0.79976,0.78374,0.88441,0.76275,0.63096,0.78582,0.90909,0.009406,0.009406,0.009406
20,765.011,0.69435,1.04865,0.92592,0.82348,0.80179,0.90089,0.78299,0.60761,0.70445,0.89387,0.009373,0.009373,0.009373
21,802.885,0.69346,1.03001,0.92417,0.83513,0.81543,0.91305,0.79661,0.58622,0.69406,0.89305,0.00934,0.00934,0.00934
22,840.829,0.68315,1.00864,0.92193,0.82153,0.8425,0.91755,0.79942,0.59195,0.66917,0.89368,0.009307,0.009307,0.009307
23,878.579,0.67321,0.98139,0.91797,0.79634,0.84236,0.90824,0.7971,0.58871,0.66263,0.8909,0.009274,0.009274,0.009274
24,939.435,0.66964,0.97955,0.92126,0.84596,0.83208,0.92328,0.81135,0.56922,0.63427,0.88713,0.009241,0.009241,0.009241
25,1046.95,0.66027,0.95569,0.9172,0.84354,0.83019,0.92064,0.80738,0.57541,0.63829,0.89227,0.009208,0.009208,0.009208
26,1148.92,0.65932,0.92179,0.91623,0.82242,0.85655,0.9256,0.81086,0.57467,0.63565,0.88833,0.009175,0.009175,0.009175
27,1284.87,0.65718,0.89897,0.91385,0.82962,0.8364,0.91953,0.80975,0.58165,0.64612,0.8916,0.009142,0.009142,0.009142
28,1404.75,0.64551,0.88327,0.90704,0.83556,0.85824,0.93549,0.82488,0.56321,0.58449,0.88347,0.009109,0.009109,0.009109
29,1522.72,0.64333,0.86751,0.90644,0.87593,0.84408,0.93874,0.82809,0.55204,0.5643,0.88082,0.009076,0.009076,0.009076
30,1642.57,0.63641,0.83573,0.90554,0.8396,0.83831,0.9269,0.81802,0.55687,0.63429,0.8805,0.009043,0.009043,0.009043
31,1774.72,0.63824,0.83695,0.9056,0.88027,0.82664,0.92991,0.81731,0.55918,0.60943,0.88207,0.00901,0.00901,0.00901
32,1894.44,0.63352,0.81444,0.90862,0.87356,0.84069,0.93824,0.81836,0.57507,0.58318,0.88987,0.008977,0.008977,0.008977
33,2014.57,0.62496,0.80881,0.9038,0.87619,0.84974,0.94376,0.83529,0.54814,0.5654,0.87751,0.008944,0.008944,0.008944
34,2127.89,0.62094,0.77913,0.89933,0.89101,0.85681,0.95027,0.84335,0.5335,0.53674,0.87213,0.008911,0.008911,0.008911
35,2259.94,0.61919,0.76849,0.90114,0.86641,0.88123,0.94972,0.84321,0.5333,0.53429,0.87238,0.008878,0.008878,0.008878
36,2377.08,0.60964,0.75505,0.89925,0.84654,0.85151,0.93086,0.82205,0.54177,0.57899,0.87532,0.008845,0.008845,0.008845
37,2489.37,0.61472,0.74066,0.89572,0.86122,0.88194,0.94962,0.84309,0.52862,0.50759,0.87061,0.008812,0.008812,0.008812
38,2610.55,0.60706,0.72544,0.8978,0.88426,0.8768,0.94764,0.84248,0.53715,0.52853,0.8724,0.008779,0.008779,0.008779
39,2745.73,0.6032,0.71935,0.89308,0.86654,0.89299,0.9516,0.84412,0.53059,0.51529,0.87177,0.008746,0.008746,0.008746
40,2865.75,0.5998,0.69816,0.89513,0.85343,0.87326,0.9459,0.84109,0.52828,0.52808,0.87115,0.008713,0.008713,0.008713
41,2982.86,0.59492,0.68653,0.89452,0.8716,0.90046,0.95272,0.84716,0.52308,0.48966,0.86977,0.00868,0.00868,0.00868
42,3105,0.59828,0.68249,0.89234,0.89194,0.87493,0.94994,0.84636,0.52746,0.49939,0.87089,0.008647,0.008647,0.008647
43,3237.21,0.59873,0.67188,0.89274,0.8626,0.90634,0.95815,0.85019,0.52387,0.48413,0.87053,0.008614,0.008614,0.008614
44,3357.31,0.59008,0.6618,0.8915,0.88615,0.89047,0.95739,0.85494,0.52192,0.48122,0.86788,0.008581,0.008581,0.008581
45,3475.55,0.58693,0.64312,0.88765,0.86796,0.90728,0.95457,0.85356,0.51048,0.48199,0.86517,0.008548,0.008548,0.008548
46,3591.64,0.58731,0.64677,0.89191,0.85854,0.90489,0.95531,0.85593,0.51753,0.48743,0.86859,0.008515,0.008515,0.008515
47,3725.31,0.58112,0.6318,0.88802,0.88523,0.90209,0.96239,0.8614,0.50996,0.46843,0.86352,0.008482,0.008482,0.008482
48,3844.14,0.58019,0.62968,0.89051,0.87059,0.88682,0.95261,0.85192,0.51198,0.49199,0.86691,0.008449,0.008449,0.008449
49,3960.5,0.58022,0.62142,0.88562,0.87195,0.90396,0.95925,0.85592,0.51545,0.46326,0.86696,0.008416,0.008416,0.008416
50,4074.24,0.57064,0.60208,0.8857,0.8783,0.89481,0.95687,0.85223,0.5323,0.48525,0.87346,0.008383,0.008383,0.008383
51,4210.93,0.57659,0.60947,0.88561,0.87305,0.90906,0.96445,0.86504,0.49824,0.44461,0.85993,0.00835,0.00835,0.00835
52,4333.14,0.56987,0.59755,0.88386,0.89439,0.89032,0.96229,0.86052,0.50231,0.45327,0.86198,0.008317,0.008317,0.008317
53,4452.75,0.56868,0.59522,0.88333,0.87852,0.90954,0.95861,0.86136,0.50158,0.45675,0.86219,0.008284,0.008284,0.008284
54,4571.24,0.56052,0.57593,0.87977,0.88309,0.90148,0.96257,0.86522,0.49866,0.44915,0.86075,0.008251,0.008251,0.008251
55,4704.07,0.55852,0.58071,0.88303,0.88772,0.9095,0.96276,0.86257,0.50524,0.43533,0.86201,0.008218,0.008218,0.008218
56,4825.69,0.56103,0.57405,0.88204,0.89542,0.90198,0.9635,0.86755,0.49586,0.44299,0.85877,0.008185,0.008185,0.008185
57,4947,0.55869,0.56783,0.87982,0.88283,0.90784,0.96571,0.86835,0.48874,0.4243,0.85688,0.008152,0.008152,0.008152
58,5062.41,0.56024,0.56843,0.88122,0.90196,0.90549,0.9654,0.86902,0.49111,0.43352,0.85833,0.008119,0.008119,0.008119
59,5190.89,0.55712,0.56362,0.88035,0.90288,0.90224,0.96391,0.87347,0.47965,0.42028,0.8538,0.008086,0.008086,0.008086
60,5312.88,0.55157,0.55426,0.87897,0.88852,0.90246,0.9629,0.86842,0.48798,0.42683,0.85634,0.008053,0.008053,0.008053
61,5429.91,0.55499,0.55712,0.87655,0.9138,0.89737,0.96395,0.86789,0.48704,0.42658,0.8558,0.00802,0.00802,0.00802
62,5540.06,0.54874,0.55029,0.87495,0.90803,0.90226,0.96822,0.87164,0.48423,0.40989,0.8556,0.007987,0.007987,0.007987
63,5674.58,0.54696,0.54629,0.87689,0.89904,0.91045,0.96877,0.87115,0.49014,0.42045,0.85795,0.007954,0.007954,0.007954
64,5798.07,0.54209,0.53746,0.87537,0.89651,0.91528,0.96693,0.87322,0.48478,0.40487,0.8549,0.007921,0.007921,0.007921
65,5917.57,0.54304,0.53802,0.87833,0.89732,0.9131,0.96855,0.87621,0.47178,0.40247,0.85146,0.007888,0.007888,0.007888
66,6037.09,0.54516,0.53955,0.87331,0.91598,0.91148,0.96788,0.87439,0.47927,0.39227,0.85255,0.007855,0.007855,0.007855
67,6170.17,0.53694,0.52256,0.87178,0.91502,0.90544,0.96386,0.87464,0.46775,0.40249,0.85125,0.007822,0.007822,0.007822
68,6294.59,0.53784,0.5285,0.87251,0.90661,0.92455,0.97085,0.87828,0.47093,0.39695,0.85261,0.007789,0.007789,0.007789
69,6414.11,0.53453,0.52757,0.87391,0.90537,0.91726,0.97282,0.88346,0.46425,0.39147,0.84937,0.007756,0.007756,0.007756
70,6527.84,0.5336,0.52033,0.87185,0.91638,0.91582,0.96882,0.87624,0.47471,0.39268,0.85344,0.007723,0.007723,0.007723
71,6655.93,0.53097,0.51895,0.8728,0.90149,0.93269,0.97335,0.88295,0.46581,0.38358,0.85154,0.00769,0.00769,0.00769
72,6777.02,0.52839,0.50456,0.86839,0.92828,0.91412,0.97124,0.88216,0.46423,0.38538,0.84956,0.007657,0.007657,0.007657
73,6891.97,0.53221,0.50583,0.8701,0.92278,0.90122,0.97123,0.88386,0.45946,0.38339,0.84894,0.007624,0.007624,0.007624
74,7004.89,0.52638,0.50578,0.8674,0.92096,0.92022,0.97372,0.88908,0.46105,0.38332,0.84779,0.007591,0.007591,0.007591
75,7137.47,0.52434,0.49938,0.87114,0.92993,0.90956,0.97378,0.88539,0.46192,0.38337,0.84751,0.007558,0.007558,0.007558
76,7261.05,0.52979,0.51277,0.87092,0.91808,0.92269,0.97327,0.88619,0.46019,0.37758,0.847,0.007525,0.007525,0.007525
77,7380.69,0.52096,0.50927,0.86923,0.9173,0.91597,0.97003,0.88261,0.45818,0.37811,0.84977,0.007492,0.007492,0.007492
78,7499.34,0.52538,0.49831,0.86992,0.91986,0.91833,0.97395,0.88721,0.45422,0.37371,0.84419,0.007459,0.007459,0.007459
79,7633.29,0.52114,0.49434,0.86731,0.91035,0.92639,0.9718,0.88744,0.45404,0.36918,0.84582,0.007426,0.007426,0.007426
80,7757.41,0.52356,0.49449,0.86665,0.92214,0.91957,0.97472,0.88965,0.4501,0.37222,0.84406,0.007393,0.007393,0.007393
81,7876.92,0.5167,0.49547,0.8669,0.9154,0.92255,0.97215,0.88388,0.46072,0.3744,0.84743,0.00736,0.00736,0.00736
82,7990.06,0.52191,0.49556,0.86699,0.91585,0.93559,0.97715,0.89123,0.44933,0.36078,0.8449,0.007327,0.007327,0.007327
83,8118.95,0.51261,0.48556,0.86697,0.92287,0.92843,0.97433,0.89112,0.44403,0.35831,0.84152,0.007294,0.007294,0.007294
84,8241.78,0.51594,0.48328,0.86656,0.92653,0.92163,0.97663,0.89006,0.44905,0.35682,0.8446,0.007261,0.007261,0.007261
85,8358.43,0.5101,0.47936,0.86334,0.92082,0.93002,0.97641,0.89377,0.44247,0.35553,0.84245,0.007228,0.007228,0.007228
86,8463.89,0.50891,0.47918,0.86564,0.92584,0.92001,0.97668,0.89418,0.44109,0.35183,0.84095,0.007195,0.007195,0.007195
87,8604.47,0.50777,0.47825,0.86456,0.93136,0.92233,0.97503,0.89351,0.44083,0.35465,0.84133,0.007162,0.007162,0.007162
88,8727.5,0.50799,0.47664,0.86489,0.92609,0.91829,0.97617,0.89452,0.44116,0.35437,0.84188,0.007129,0.007129,0.007129
89,8846.16,0.50701,0.47251,0.86488,0.9256,0.92374,0.9762,0.89481,0.43917,0.34674,0.84033,0.007096,0.007096,0.007096
90,8964.68,0.50509,0.47079,0.86233,0.90569,0.9361,0.9765,0.89443,0.44225,0.35266,0.84083,0.007063,0.007063,0.007063
91,9097.76,0.50747,0.46745,0.86652,0.92604,0.92459,0.97651,0.89649,0.43687,0.35311,0.84157,0.00703,0.00703,0.00703
92,9220.27,0.50327,0.46804,0.8611,0.91628,0.93805,0.97707,0.89724,0.43714,0.34563,0.84187,0.006997,0.006997,0.006997
93,9340.94,0.49616,0.46336,0.86243,0.91974,0.92742,0.97433,0.8935,0.43822,0.34831,0.84177,0.006964,0.006964,0.006964
94,9456.37,0.49873,0.46532,0.86223,0.92244,0.93713,0.97407,0.89338,0.43943,0.34785,0.84234,0.006931,0.006931,0.006931
95,9584.04,0.49842,0.45868,0.85923,0.92909,0.93358,0.97584,0.89745,inf,0.33805,0.84002,0.006898,0.006898,0.006898
96,9706.05,0.49624,0.45904,0.86072,0.91636,0.93226,0.97552,0.89394,0.43875,0.34823,0.84282,0.006865,0.006865,0.006865
97,9821.35,0.49876,0.45388,0.86274,0.92947,0.93233,0.97766,0.8962,0.42415,0.33297,0.83746,0.006832,0.006832,0.006832
98,9937.5,0.49153,0.44935,0.85847,0.92466,0.93971,0.97811,0.89703,0.42923,0.33917,0.83934,0.006799,0.006799,0.006799
99,10068.9,0.49386,0.45284,0.85895,0.92928,0.92473,0.97715,0.89657,0.43521,0.34021,0.84122,0.006766,0.006766,0.006766
100,10194.1,0.49177,0.44803,0.85843,0.93268,0.93163,0.97985,0.90016,inf,0.33547,0.83864,0.006733,0.006733,0.006733
101,10313.2,0.49377,0.45586,0.8588,0.9343,0.92765,0.97708,0.89796,0.42764,0.33869,0.83759,0.0067,0.0067,0.0067
102,10432.5,0.4816,0.4391,0.85551,0.9215,0.93973,0.97747,0.8983,0.42246,0.33628,0.83569,0.006667,0.006667,0.006667
103,10562.8,0.48678,0.44546,0.85824,0.91206,0.94481,0.9788,0.8989,0.4182,0.32625,0.83392,0.006634,0.006634,0.006634
104,10687.2,0.48699,0.44525,0.85942,0.93167,0.93004,0.9793,0.90251,0.41921,0.32807,0.83532,0.006601,0.006601,0.006601
105,10808.1,0.48369,0.44626,0.85957,0.92452,0.93695,0.97648,0.89893,0.42561,0.33019,0.83826,0.006568,0.006568,0.006568
