epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.605,0.98391,5.26688,1.03362,0.56927,0.14904,0.11883,0.10357,0.71343,3.28802,0.92734,0.00331989,0.00331989,0.00331989
2,238.675,0.82705,3.08186,0.97519,0.54477,0.35776,0.33801,0.28647,0.72491,2.29729,0.92818,0.00663127,0.00663127,0.00663127
3,381.017,0.85488,2.2738,0.98648,0.59934,0.45656,0.47133,0.3885,0.74774,1.9689,0.94671,0.00992065,0.00992065,0.00992065
4,516.977,0.85431,1.87906,0.98554,0.66292,0.5093,0.59103,0.48785,0.74348,1.49119,0.94945,0.009901,0.009901,0.009901
5,649.393,0.83606,1.54481,0.97965,0.66387,0.61906,0.70807,0.58355,0.73956,1.23281,0.9442,0.009868,0.009868,0.009868
6,782.1,0.79912,1.31989,0.96908,0.73506,0.61251,0.72415,0.59658,0.73428,1.15468,0.94069,0.009835,0.009835,0.009835
7,909.661,0.7666,1.18223,0.95882,0.73032,0.6791,0.79509,0.66768,0.68069,0.98969,0.92257,0.009802,0.009802,0.009802
8,1046.82,0.74626,1.0751,0.94637,0.7245,0.74132,0.83275,0.71083,0.65658,0.92542,0.91155,0.009769,0.009769,0.009769
9,1189.56,0.73242,1.00365,0.94266,0.77337,0.7742,0.86587,0.73185,0.65375,0.79049,0.90733,0.009736,0.009736,0.009736
10,1320.74,0.71405,0.94432,0.93649,0.79258,0.72733,0.86156,0.74359,0.62361,0.85361,0.90458,0.009703,0.009703,0.009703
11,1447.65,0.69481,0.88585,0.9305,0.80533,0.7652,0.88926,0.76695,0.63043,0.7676,0.90728,0.00967,0.00967,0.00967
12,1571.02,0.68601,0.83849,0.92786,0.81025,0.81267,0.90843,0.78881,0.59684,0.66227,0.89233,0.009637,0.009637,0.009637
13,1702.26,0.67169,0.79948,0.9205,0.79476,0.78628,0.88971,0.77777,0.5856,0.77622,0.88884,0.009604,0.009604,0.009604
14,1843.87,0.65554,0.76217,0.91312,0.81774,0.84759,0.93328,0.81387,0.57632,0.59911,0.88393,0.009571,0.009571,0.009571
15,1978.35,0.64747,0.73447,0.91409,0.80868,0.85635,0.92811,0.81116,0.56912,0.6142,0.88412,0.009538,0.009538,0.009538
16,2108.07,0.63803,0.71926,0.90892,0.8486,0.85789,0.94014,0.82673,0.55264,0.55987,0.87382,0.009505,0.009505,0.009505
17,2239.7,0.62672,0.69839,0.9046,0.85734,0.87047,0.94415,0.83307,0.54752,0.53185,0.87223,0.009472,0.009472,0.009472
18,2367.29,0.62269,0.67947,0.90703,0.88158,0.86151,0.95073,0.8364,0.54498,0.52848,0.86988,0.009439,0.009439,0.009439
19,2506.82,0.62046,0.65743,0.9041,0.83597,0.87261,0.94404,0.82855,0.56431,0.52989,0.87793,0.009406,0.009406,0.009406
20,2647.11,0.60526,0.63061,0.89491,0.83368,0.89079,0.9509,0.8436,0.52795,0.51176,0.86553,0.009373,0.009373,0.009373
21,2779.11,0.60654,0.63397,0.896,0.86229,0.87632,0.94741,0.83922,0.53555,0.50886,0.86686,0.00934,0.00934,0.00934
22,2909.13,0.59331,0.61963,0.89181,0.89083,0.88203,0.95808,0.85087,0.52706,0.49018,0.86454,0.009307,0.009307,0.009307
