epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.364,1.03421,3.09305,1.03788,0.72553,0.15609,0.07833,0.06196,0.79774,1.89682,0.93311,0.00331989,0.00331989,0.00331989
2,534.917,0.93101,1.96207,0.98354,0.7814,0.14004,0.14256,0.11254,0.77822,1.47974,0.93335,0.00663127,0.00663127,0.00663127
3,724.363,0.93109,1.70493,0.98169,0.68337,0.17767,0.19113,0.15068,0.80912,1.55567,0.94527,0.00992065,0.00992065,0.00992065
4,903.599,0.92324,1.55951,0.97856,0.71771,0.18417,0.21897,0.17231,0.8397,1.25548,0.95216,0.009901,0.009901,0.009901
5,1001.58,0.88547,1.42477,0.96953,0.68502,0.22534,0.25375,0.208,0.74947,1.22284,0.91207,0.009868,0.009868,0.009868
6,1105.25,0.84746,1.2833,0.95589,0.70996,0.34826,0.35523,0.28063,0.76634,1.04904,0.928,0.009835,0.009835,0.009835
7,1198.21,0.83217,1.19716,0.95177,0.75572,0.33979,0.4202,0.3498,0.69136,0.9111,0.90343,0.009802,0.009802,0.009802
8,1271.49,0.81116,1.10857,0.94246,0.66275,0.37914,0.40428,0.33439,0.70507,0.93509,0.90341,0.009769,0.009769,0.009769
9,1336.48,0.79288,1.01749,0.93777,0.71312,0.48237,0.54557,0.43371,0.65617,0.80113,0.89661,0.009736,0.009736,0.009736
10,1407.55,0.77241,0.9526,0.92975,0.67412,0.39056,0.52561,0.42041,0.7066,0.85514,0.91527,0.009703,0.009703,0.009703
11,1472.85,0.75993,0.91606,0.92898,0.8309,0.4477,0.57326,0.46733,0.65261,0.73828,0.89625,0.00967,0.00967,0.00967
12,1533.05,0.74998,0.86835,0.92307,0.81441,0.44014,0.56931,0.47263,0.66885,0.90019,0.89962,0.009637,0.009637,0.009637
13,1589.9,0.74381,0.83901,0.92157,0.81897,0.53505,0.64809,0.53496,0.64032,0.69383,0.89079,0.009604,0.009604,0.009604
14,1658.03,0.7275,0.79333,0.91414,0.85252,0.47818,0.66211,0.54432,0.63918,0.67998,0.88656,0.009571,0.009571,0.009571
15,1727.88,0.72464,0.77503,0.91437,0.84942,0.4924,0.63541,0.52403,0.6408,0.66974,0.89461,0.009538,0.009538,0.009538
16,1797.03,0.71551,0.76021,0.91306,0.8231,0.59442,0.70819,0.5845,0.60678,0.63582,0.88202,0.009505,0.009505,0.009505
17,1858.06,0.7064,0.72888,0.90697,0.88664,0.53929,0.73223,0.6208,0.60868,0.62347,0.87946,0.009472,0.009472,0.009472
18,1925.76,0.69892,0.70868,0.90483,0.72139,0.65893,0.70862,0.57725,0.60576,0.6254,0.88003,0.009439,0.009439,0.009439
19,1997.69,0.69216,0.68245,0.90346,0.86913,0.57297,0.73154,0.62374,0.60433,0.58218,0.8767,0.009406,0.009406,0.009406
20,2080.97,0.68457,0.68041,0.89996,0.79252,0.73288,0.81144,0.68727,0.57645,0.51022,0.87268,0.009373,0.009373,0.009373
21,2145.36,0.68069,0.65914,0.89722,0.75642,0.72221,0.79717,0.66799,0.57532,0.55283,0.87201,0.00934,0.00934,0.00934
22,2209.45,0.67393,0.64633,0.89541,0.78543,0.76033,0.84929,0.7159,0.58094,0.52012,0.8689,0.009307,0.009307,0.009307
23,2279.35,0.67393,0.64236,0.89917,0.80128,0.67485,0.78272,0.67665,0.56992,0.53238,0.86677,0.009274,0.009274,0.009274
24,2350.44,0.66631,0.63345,0.89232,0.79022,0.79603,0.8769,0.72973,0.5955,0.52073,0.87288,0.009241,0.009241,0.009241
25,2416.49,0.65707,0.61779,0.89204,0.80653,0.79919,0.89325,0.76449,0.56099,0.47851,0.8633,0.009208,0.009208,0.009208
26,2480.44,0.65491,0.60612,0.89245,0.80316,0.83669,0.85747,0.71462,0.56856,0.46948,0.86854,0.009175,0.009175,0.009175
27,2566.42,0.64741,0.58496,0.88539,0.83479,0.82517,0.88836,0.76266,0.54461,0.45677,0.86276,0.009142,0.009142,0.009142
28,2650.33,0.64893,0.58575,0.88765,0.82899,0.71755,0.82918,0.69775,0.57026,0.50855,0.86437,0.009109,0.009109,0.009109
29,2716.33,0.63754,0.57757,0.88265,0.83546,0.8741,0.91496,0.77098,0.55275,0.46915,0.8643,0.009076,0.009076,0.009076
30,2793.02,0.63419,0.57374,0.88461,0.79748,0.78721,0.87846,0.74352,0.55159,0.46292,0.86494,0.009043,0.009043,0.009043
31,2871.09,0.64041,0.57051,0.8876,0.85821,0.788,0.89736,0.77056,0.55021,0.44241,0.8588,0.00901,0.00901,0.00901
32,2943.16,0.62789,0.56634,0.88303,0.85815,0.84896,0.92679,0.78297,0.53705,0.43021,0.8571,0.008977,0.008977,0.008977
33,3009,0.62697,0.55161,0.88177,0.80496,0.87783,0.91727,0.78895,0.53753,0.46179,0.85818,0.008944,0.008944,0.008944
34,3075.48,0.62386,0.54347,0.87997,0.78304,0.87485,0.90591,0.7485,0.55107,0.44942,0.86321,0.008911,0.008911,0.008911
